raceId,driverId,constructorId,grid,position,positionText,points,statusId,position_change,year,era
343,13,6,8,7,7,6.0,1,1,2010,2010-2013
343,4,6,12,8,8,4.0,1,4,2010,2010-2013
343,16,10,11,9,9,2.0,1,2,2010,2010-2013
343,155,15,10,10,10,1.0,1,0,2010,2010-2013
343,37,15,13,11,11,0.0,1,2,2010,2010-2013
343,153,5,16,12,12,0.0,1,4,2010,2010-2013
343,24,10,18,13,13,0.0,11,5,2010,2010-2013
343,22,3,15,14,14,0.0,11,1,2010,2010-2013
343,808,4,9,15,15,0.0,11,-6,2010,2010-2013
343,67,5,14,16,16,0.0,11,-2,2010,2010-2013
343,807,3,17,17,17,0.0,11,0,2010,2010-2013
343,10,166,21,18,18,0.0,13,3,2010,2010-2013
343,810,166,23,19,19,0.0,13,4,2010,2010-2013
343,812,164,24,20,20,0.0,48,4,2010,2010-2013
343,811,164,22,,R,0.0,32,,2010,2010-2013
343,20,9,3,,R,0.0,4,,2010,2010-2013
343,5,205,20,,R,0.0,9,,2010,2010-2013
343,15,205,19,,R,0.0,9,,2010,2010-2013
344,1,1,1,1,1,25.0,1,0,2010,2010-2013
344,18,1,4,2,2,18.0,1,2,2010,2010-2013
344,4,6,3,3,3,15.0,1,0,2010,2010-2013
344,20,9,2,4,4,12.0,1,-2,2010,2010-2013
344,17,9,7,5,5,10.0,1,2,2010,2010-2013
344,3,131,10,6,6,8.0,1,4,2010,2010-2013
344,9,4,8,7,7,6.0,1,1,2010,2010-2013
344,67,5,15,8,8,4.0,11,7,2010,2010-2013
344,24,10,5,9,9,2.0,11,-4,2010,2010-2013
344,16,10,9,10,10,1.0,11,-1,2010,2010-2013
344,30,131,13,11,11,0.0,11,2,2010,2010-2013
344,153,5,16,12,12,0.0,11,4,2010,2010-2013
344,807,3,12,13,13,0.0,11,-1,2010,2010-2013
344,22,3,11,14,14,0.0,11,-3,2010,2010-2013
344,13,6,6,15,15,0.0,11,-9,2010,2010-2013
344,5,205,19,16,16,0.0,12,3,2010,2010-2013
344,808,4,14,17,17,0.0,12,-3,2010,2010-2013
344,812,164,24,18,18,0.0,14,6,2010,2010-2013
344,810,166,23,19,19,0.0,15,4,2010,2010-2013
344,10,166,21,,R,0.0,26,,2010,2010-2013
344,15,205,20,,R,0.0,23,,2010,2010-2013
344,37,15,17,,R,0.0,5,,2010,2010-2013
344,811,164,22,,R,0.0,9,,2010,2010-2013
344,155,15,18,,R,0.0,3,,2010,2010-2013
345,20,9,1,1,1,25.0,1,0,2010,2010-2013
345,1,1,3,2,2,18.0,1,1,2010,2010-2013
345,18,1,7,3,3,15.0,1,4,2010,2010-2013
345,22,3,9,4,4,12.0,1,5,2010,2010-2013
345,9,4,6,5,5,10.0,1,1,2010,2010-2013
345,16,10,13,6,6,8.0,1,7,2010,2010-2013
345,155,15,18,7,7,6.0,1,11,2010,2010-2013
345,4,6,4,8,8,4.0,1,-4,2010,2010-2013
345,67,5,11,9,9,2.0,1,2,2010,2010-2013
345,3,131,12,10,10,1.0,1,2,2010,2010-2013
345,13,6,5,11,11,0.0,1,-6,2010,2010-2013
345,37,15,16,12,12,0.0,1,4,2010,2010-2013
345,153,5,17,13,13,0.0,1,4,2010,2010-2013
345,808,4,10,14,14,0.0,1,-4,2010,2010-2013
345,30,131,15,15,15,0.0,1,0,2010,2010-2013
345,24,10,14,16,16,0.0,1,-2,2010,2010-2013
345,810,166,21,17,17,0.0,11,4,2010,2010-2013
345,812,164,23,18,18,0.0,12,5,2010,2010-2013
345,10,166,22,19,19,0.0,12,3,2010,2010-2013
345,811,164,24,20,20,0.0,12,4,2010,2010-2013
345,15,205,19,21,21,0.0,14,-2,2010,2010-2013
345,807,3,8,,R,0.0,43,,2010,2010-2013
345,5,205,20,,R,0.0,4,,2010,2010-2013
345,17,9,2,,R,0.0,4,,2010,2010-2013
346,17,9,2,1,1,25.0,1,1,2010,2010-2013
346,1,1,4,2,2,18.0,1,2,2010,2010-2013
346,3,131,5,3,3,15.0,1,2,2010,2010-2013
346,18,1,14,4,4,12.0,1,10,2010,2010-2013
346,22,3,8,5,5,10.0,1,3,2010,2010-2013
346,155,15,12,6,6,8.0,1,6,2010,2010-2013
346,20,9,1,7,7,6.0,1,-6,2010,2010-2013
346,16,10,11,8,8,4.0,1,3,2010,2010-2013
346,30,131,10,9,9,2.0,1,1,2010,2010-2013
346,807,3,13,10,10,1.0,1,3,2010,2010-2013
346,24,10,20,11,11,0.0,1,9,2010,2010-2013
346,67,5,16,12,12,0.0,1,4,2010,2010-2013
346,808,4,15,13,13,0.0,1,2,2010,2010-2013
346,4,6,3,14,14,0.0,1,-11,2010,2010-2013
346,13,6,7,15,15,0.0,1,-8,2010,2010-2013
346,15,205,21,16,16,0.0,11,5,2010,2010-2013
346,5,205,18,17,17,0.0,11,1,2010,2010-2013
346,10,166,19,18,18,0.0,12,1,2010,2010-2013
346,812,164,23,19,19,0.0,12,4,2010,2010-2013
346,29,164,24,20,20,0.0,12,4,2010,2010-2013
346,153,5,17,,R,0.0,23,,2010,2010-2013
346,37,15,9,,R,0.0,4,,2010,2010-2013
346,9,4,6,,R,0.0,30,,2010,2010-2013
346,810,166,22,,R,0.0,9,,2010,2010-2013
347,4,6,2,1,1,25.0,1,1,2010,2010-2013
347,13,6,3,2,2,18.0,1,1,2010,2010-2013
347,20,9,1,3,3,15.0,1,-2,2010,2010-2013
347,1,1,6,4,4,12.0,1,2,2010,2010-2013
347,18,1,5,5,5,10.0,1,0,2010,2010-2013
347,17,9,4,6,6,8.0,1,-2,2010,2010-2013
347,9,4,7,7,7,6.0,11,0,2010,2010-2013
347,3,131,9,8,8,4.0,11,1,2010,2010-2013
347,30,131,11,9,9,2.0,11,2,2010,2010-2013
347,808,4,13,10,10,1.0,11,3,2010,2010-2013
347,155,15,12,11,11,0.0,11,1,2010,2010-2013
347,22,3,8,12,12,0.0,11,-4,2010,2010-2013
347,807,3,10,13,13,0.0,11,-3,2010,2010-2013
347,37,15,14,14,14,0.0,11,0,2010,2010-2013
347,153,5,15,15,15,0.0,11,0,2010,2010-2013
347,24,10,21,16,16,0.0,12,5,2010,2010-2013
347,16,10,19,17,17,0.0,12,2,2010,2010-2013
347,10,166,23,18,18,0.0,13,5,2010,2010-2013
347,811,164,20,19,19,0.0,14,1,2010,2010-2013
347,5,205,18,,R,0.0,4,,2010,2010-2013
347,810,166,24,,R,0.0,6,,2010,2010-2013
347,29,164,22,,R,0.0,5,,2010,2010-2013
347,15,205,17,,R,0.0,6,,2010,2010-2013
347,67,5,16,,R,0.0,4,,2010,2010-2013
348,17,9,2,1,1,25.0,1,1,2010,2010-2013
348,4,6,3,2,2,18.0,1,1,2010,2010-2013
348,20,9,1,3,3,15.0,1,-2,2010,2010-2013
348,13,6,4,4,4,12.0,1,0,2010,2010-2013
348,808,4,7,5,5,10.0,1,2,2010,2010-2013
348,807,3,10,6,6,8.0,1,4,2010,2010-2013
348,37,15,9,7,7,6.0,11,2,2010,2010-2013
348,18,1,11,8,8,4.0,11,3,2010,2010-2013
348,155,15,23,9,9,2.0,11,14,2010,2010-2013
348,22,3,12,10,10,1.0,11,2,2010,2010-2013
348,30,131,14,11,11,0.0,11,3,2010,2010-2013
348,67,5,15,12,12,0.0,11,3,2010,2010-2013
348,24,10,16,13,13,0.0,11,3,2010,2010-2013
348,5,205,19,14,14,0.0,13,5,2010,2010-2013
348,15,205,20,15,15,0.0,13,5,2010,2010-2013
348,10,166,18,16,16,0.0,13,2,2010,2010-2013
348,811,164,22,17,17,0.0,13,5,2010,2010-2013
348,810,166,21,18,18,0.0,14,3,2010,2010-2013
348,29,164,24,19,19,0.0,14,5,2010,2010-2013
348,1,1,5,,R,0.0,6,,2010,2010-2013
348,9,4,8,,R,0.0,31,,2010,2010-2013
348,3,131,6,,R,0.0,36,,2010,2010-2013
348,16,10,13,,R,0.0,4,,2010,2010-2013
348,153,5,17,,R,0.0,5,,2010,2010-2013
349,1,1,2,1,1,25.0,1,1,2010,2010-2013
349,17,9,1,2,2,18.0,1,-1,2010,2010-2013
349,9,4,3,3,3,15.0,1,0,2010,2010-2013
349,13,6,6,4,4,12.0,1,2,2010,2010-2013
349,16,10,8,5,5,10.0,1,3,2010,2010-2013
349,3,131,14,6,6,8.0,1,8,2010,2010-2013
349,30,131,21,7,7,6.0,1,14,2010,2010-2013
349,155,15,17,8,8,4.0,1,9,2010,2010-2013
349,808,4,23,9,9,2.0,1,14,2010,2010-2013
349,24,10,12,10,10,1.0,1,2,2010,2010-2013
349,37,15,24,11,11,0.0,1,13,2010,2010-2013
349,67,5,16,12,12,0.0,1,4,2010,2010-2013
349,153,5,11,13,13,0.0,1,-2,2010,2010-2013
349,807,3,9,14,14,0.0,11,-5,2010,2010-2013
349,20,9,4,15,15,0.0,11,-11,2010,2010-2013
349,5,205,13,16,16,0.0,11,-3,2010,2010-2013
349,810,166,22,17,17,0.0,11,5,2010,2010-2013
349,10,166,20,18,18,0.0,11,2,2010,2010-2013
349,15,205,15,19,19,0.0,11,-4,2010,2010-2013
349,29,164,19,20,20,0.0,12,-1,2010,2010-2013
349,4,6,10,,R,0.0,3,,2010,2010-2013
349,18,1,5,,R,0.0,4,,2010,2010-2013
349,811,164,18,,R,0.0,31,,2010,2010-2013
349,22,3,7,,R,0.0,4,,2010,2010-2013
350,4,6,1,1,1,25.0,1,0,2010,2010-2013
350,18,1,2,2,2,18.0,1,0,2010,2010-2013
350,13,6,3,3,3,15.0,1,0,2010,2010-2013
350,20,9,6,4,4,12.0,1,2,2010,2010-2013
